每股指标,摊薄每股收益_最新股数,-0.076091,-0.041332,-0.050881,-0.02332,0.026294,0.030565,-0.00413,-0.026574,0.032892,0.048763,0.037974,0.002806,0.029452,0.030496,0.050725,0.032686,-0.04971,0.026039,0.022766,0.003367,0.026587,0.074004,0.030689,-0.02421,0.1668,0.152484,0.101116,0.030871,0.093281,0.083224,0.042931,-0.011985,0.027164,0.036258,0.016741,0.006264,-0.124841,-0.049149,-0.028753,-0.002854,0.005313,0.020858,0.001226,-0.005502,-0.11134,-0.060229,-0.035377,-0.024102,0.010405,0.039013,0.044121,0.001719,0.133633,0.091539,0.057347,0.001244,0.213701,0.149515,0.049545,0.168866,0.158431,0.128504
每股指标,摊薄每股净资产_期末股数,3.286529,3.320172,3.310148,3.340119,3.362444,3.391899,3.439414,3.466209,3.434875,3.443357,3.429962,3.392199,3.392741,3.392911,3.404638,3.384533,3.344797,2.879072,2.860582,2.860039,2.951901,2.972329,2.898497,2.783183,2.946223,2.875557,2.813816,2.7614,2.722009,2.761607,2.704782,2.7162,2.730373,2.742335,2.71852,2.70596,2.697876,2.788346,2.812724,2.843679,2.847091,2.865671,2.842205,2.834163,2.84074,2.901829,2.931462,2.949067,2.977747,3.011939,3.018045,3.015364,3.013309,4.444495,4.383194,,2.776734,2.623299,,2.265883,2.178756,1.686407
每股指标,调整每股净资产_期末股数,2.835047,3.190965,3.180395,3.213876,3.235763,3.265006,3.31134,3.338076,3.302765,3.317093,3.300459,3.261426,3.263986,3.256957,3.266348,3.244295,3.202957,2.731242,2.715205,2.713971,2.804685,2.821789,2.742825,2.610274,2.795402,2.720266,2.65923,2.606712,2.567151,2.608106,2.552815,2.563094,2.578789,2.58732,2.560063,2.546989,2.538838,2.635553,2.660596,2.691007,2.693041,2.713403,2.68343,2.674888,2.677855,2.74098,2.773999,2.788033,2.82067,2.851803,2.858922,2.8588,2.857129,4.205465,4.144251,,2.46103,2.304173,,1.940633,2.008519,1.497176
每股指标,每股净资产_最新股数,3.286529,3.320172,3.310148,3.340119,3.362444,3.391899,3.439414,3.466209,3.434875,3.443357,3.429962,3.392199,3.392741,3.392911,3.404638,3.384533,3.344797,2.393789,2.392863,2.39241,2.469252,2.48634,2.424579,2.32812,2.464502,2.40539,2.354197,2.310343,2.277386,2.310516,2.262973,2.272526,2.284384,2.294392,2.274467,2.263959,2.257195,2.332887,2.353284,2.379182,2.382037,2.397581,2.377949,2.37122,2.376723,2.427834,2.452627,2.467355,2.49135,2.519958,2.525066,2.522824,2.521104,2.47901,2.444818,,1.161575,1.097389,,0.947873,0.701097,0.542665
每股指标,每股经营现金流,0.286947,-0.098598,-0.034847,-0.005614,0.24302,-0.006645,-0.060291,0.017301,0.22942,0.022427,-0.056851,0.043809,0.214565,0.040076,0.02617,0.100438,-0.371884,-0.664214,-0.63669,-0.321407,0.630275,0.366607,0.087891,0.012514,0.102806,-0.152361,-0.15571,-0.223611,-0.415872,-0.358563,-0.303948,-0.187504,-0.162407,-0.281138,-0.09678,-0.126982,-0.056529,-0.057596,-0.03489,-0.034308,0.197931,0.073111,0.064162,0.029718,0.295449,0.16358,0.078535,0.139908,-0.28892,-0.400898,-0.429467,-0.108659,0.18177,-0.427897,-0.393031,,0.354369,0.248685,,0.555602,0.051183,0.150134
每股指标,每股现金流量净额,0.625938,-0.043918,0.066739,0.000484,-0.102375,-0.157493,-0.108002,0.068165,-0.370225,-0.362367,-0.360331,-0.180595,-0.158686,-0.238429,-0.02961,-0.187554,0.540807,-0.493794,-0.509009,-0.46134,0.390663,-0.052669,-0.153866,-0.250442,0.248861,-0.079895,-0.014225,-0.049969,-0.064632,-0.057135,-0.020673,-0.06014,-0.060214,-0.199907,-0.184779,-0.132424,0.071706,0.078349,0.10439,-0.04446,0.104863,0.140355,0.129204,0.096489,-0.302891,-0.208809,-0.20375,-0.170319,-1.042169,-0.777625,-0.779604,-0.286157,1.160068,0.272361,1.073003,,-0.320012,-0.040717,,0.673389,0.19682,-0.062129
每股指标,每股企业自由现金流量,0.104626,,0.017123,,0.053404,,-0.071283,,0.225374,,0.202815,,0.156487,,0.005974,,-0.815448,,0.179232,,0.157826,,0.167848,,0.023242,,0.103837,,0.235237,,0.094763,,0.027817,,0.01956,,0.020474,,0.006717,,3.4e-05,,0.003869,,0.029437,,-0.002913,,0.106008,,0.0847,,-0.907191,,-1.544444,,-0.101476,,,-0.2038,-0.144771,-0.382272
每股指标,每股股东自由现金流量,0.283218,,0.067441,,-0.028651,,-0.047149,,-0.003899,,0.189139,,0.051906,,-0.001265,,-0.728662,,0.342531,,0.15071,,0.194098,,0.566695,,0.413353,,0.764762,,0.537066,,0.156662,,-0.057361,,0.020474,,0.006717,,0.084649,,0.088484,,-0.435752,,-0.171952,,0.160061,,-0.107208,,-1.04028,,-1.941148,,0.060895,,,0.754519,0.498328,0.077727
每股指标,每股未分配利润,0.443154,0.494061,0.484512,0.521798,0.545119,0.54939,0.514694,0.502243,0.528817,0.544753,0.533964,0.498796,0.49599,0.497034,0.517263,0.502598,0.466538,0.652864,0.645009,0.621748,0.617792,0.677116,0.625334,0.619702,0.648645,0.641281,0.579763,0.525838,0.488939,0.482985,0.434825,0.379187,0.393513,0.405066,0.381739,0.369216,0.361729,0.452199,0.476577,0.507533,0.510944,0.531009,0.507544,0.499501,0.506078,0.567168,0.596801,0.614405,0.643085,0.678576,0.684682,0.682002,0.679946,0.965846,0.904545,,1.068983,0.963608,,0.606192,0.606746,0.161632
每股指标,每股资本公积金,1.831634,1.831554,1.831554,1.823509,1.823509,1.823509,1.82325,1.822484,1.821717,1.820808,1.819171,1.816721,1.814298,1.813495,1.807707,1.802157,1.796668,1.235891,1.22882,1.22882,1.22882,1.231855,1.229038,1.22622,1.22622,1.21768,1.218386,1.211451,1.211451,1.205342,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,1.259195,2.388792,2.388792,,0.587941,0.587941,,0.587941,0.509709,0.509709
